train/ent_coef_loss,train/critic_loss,time/episodes,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/n_updates,rollout/ep_rew_mean,train/actor_loss,rollout/success_rate
-0.5012283837422729,0.5518280644901097,336,33312,0.0001,10,3060,96.99,0.9055266547948122,1024,-96.93,-20.772171586751938,0.06
,,340,33632,,10,3068,96.62,,,-96.55,,0.07
,,344,33824,,11,3073,96.62,,,-96.55,,0.07
,,348,34400,,11,3086,96.62,,,-96.55,,0.07
,,352,34816,,11,3095,96.01,,,-95.93,,0.08
-0.5335735697299242,0.5246785708004609,356,35200,0.0001,10,3247,97.04,0.8997485963627696,1088,-96.98,-20.207713216543198,0.06
,,360,35200,,10,3247,97.04,,,-96.98,,0.06
,,364,35712,,10,3259,97.04,,,-96.98,,0.06
,,368,36288,,11,3271,97.04,,,-96.98,,0.06
,,372,36832,,11,3284,97.7,,,-97.65,,0.05
-0.5658321296796203,0.5225067634601146,376,37024,0.0001,10,3432,98.14,0.8940078197047114,1152,-98.1,-19.695608288049698,0.04
,,380,37600,,10,3444,98.14,,,-98.1,,0.04
,,384,37952,,10,3452,97.66,,,-97.61,,0.05
,,388,38400,,11,3463,97.66,,,-97.61,,0.05
,,392,38400,,11,3463,97.66,,,-97.61,,0.05
,,396,38816,,11,3472,97.66,,,-97.61,,0.05
-0.5981436045840383,0.4528770172037184,400,39296,0.0001,10,3626,97.37,0.8883044654503465,1216,-97.31,-19.241222620010376,0.06
,,404,39872,,10,3640,96.86,,,-96.79,,0.07
,,408,40192,,11,3647,96.86,,,-96.79,,0.07
,,412,40768,,11,3659,97.19,,,-97.13,,0.06
-0.6305422419682145,0.40187293803319335,416,41152,0.0001,10,3811,97.19,0.8826374728232622,1280,-97.13,-18.82994419336319,0.06
,,420,41280,,10,3815,96.79,,,-96.72,,0.07
,,424,41600,,10,3822,96.23,,,-96.15,,0.08
,,428,41600,,10,3822,96.23,,,-96.15,,0.08
,,432,42112,,10,3833,96.28,,,-96.2,,0.08
,,436,42624,,11,3845,95.79,,,-95.7,,0.09
-0.6627699388191104,0.41514448006637394,440,43136,0.0001,10,4000,96.16,0.8770063882693648,1344,-96.08,-18.451322615146637,0.08
,,444,43744,,10,4013,96.16,,,-96.08,,0.08
,,448,44352,,11,4027,96.16,,,-96.08,,0.08
,,452,44480,,11,4030,96.77,,,-96.7,,0.07
,,456,44800,,11,4038,96.77,,,-96.7,,0.07
,,460,44800,,11,4038,96.77,,,-96.7,,0.07
-0.6952547654509544,0.3443914621602744,464,45312,0.0001,10,4193,96.77,0.8714110162109137,1408,-96.7,-18.114242017269135,0.07
,,468,45824,,10,4205,96.77,,,-96.7,,0.07
,,472,46336,,10,4217,96.77,,,-96.7,,0.07
,,476,46944,,11,4230,96.26,,,-96.18,,0.08
-0.727380782365799,0.38237457093782723,480,47520,0.0001,10,4386,96.2,0.8658511796966195,1472,-96.12,-17.77901327610016,0.08
,,484,47616,,10,4388,96.68,,,-96.61,,0.07
,,488,48000,,10,4397,96.68,,,-96.61,,0.07
,,492,48000,,10,4397,96.68,,,-96.61,,0.07
,,496,48256,,10,4403,95.96,,,-95.88,,0.08
,,500,48800,,11,4416,96.25,,,-96.18,,0.07
-0.7597980154678226,0.36225861799903214,504,49312,0.0001,10,4571,95.53,0.8603277746587992,1536,-95.45,-17.46413704752922,0.08
,,508,49632,,10,4579,95.53,,,-95.45,,0.08
,,512,50144,,10,4590,94.43,,,-94.32,,0.11
,,516,50208,,10,4592,94.43,,,-94.32,,0.11
,,520,50880,,11,4607,94.83,,,-94.73,,0.1
,,524,51200,,11,4614,95.39,,,-95.3,,0.09
-0.7922416646033525,0.3788774907588959,528,51328,0.0001,10,4761,94.87,0.8548386543989182,1600,-94.77,-17.160130500793457,0.1
,,532,51840,,10,4773,95.37,,,-95.28,,0.09
,,536,52416,,10,4786,95.86,,,-95.78,,0.08
