train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/fps,time/total_timesteps,train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/actor_loss,rollout/success_rate,train/critic_loss,train/ent_coef
0.0001,-0.015962009523718734,98.53125,14,3200,64,213,4,-98.5,-4.262870758771896,0.03125,0.48387798736803234,0.9968456961214542
,,98.53125,14,3200,,213,8,-98.5,,0.03125,,
,,98.53125,14,3200,,213,12,-98.5,,0.03125,,
,,98.53125,14,3200,,213,16,-98.5,,0.03125,,
,,98.53125,14,3200,,213,20,-98.5,,0.03125,,
,,98.53125,14,3200,,213,24,-98.5,,0.03125,,
,,98.53125,14,3200,,213,28,-98.5,,0.03125,,
,,98.53125,14,3200,,213,32,-98.5,,0.03125,,
0.0001,-0.08073749055620283,96.75,10,6272,192,619,36,-96.69444444444444,-9.28883844614029,0.05555555555555555,0.1712010116316378,0.9841414503753185
,,98.171875,10,6400,,621,40,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,44,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,48,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,52,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,56,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,60,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,64,-98.140625,,0.03125,,
0.0001,-0.11309532087761909,97.07352941176471,9,8416,256,857,68,-97.01470588235294,-11.574331194162369,0.058823529411764705,0.317815363407135,0.9778583152219653
,,97.57291666666667,10,9600,,881,72,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,76,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,80,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,84,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,88,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,92,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,96,-97.52083333333333,,0.052083333333333336,,
0.0001,-0.1454189617652446,96.08,10,11232,320,1120,100,-96.0,-13.427475288510323,0.08,0.22399213328026235,0.9716164255514741
,,96.15,10,11616,,1129,104,-96.07,,0.08,,
0.0001,-0.1777394413948059,95.97,9,12736,384,1356,108,-95.88,-14.206912979483604,0.09,0.9053424531593919,0.9654159434139729
,,95.97,9,12800,,1358,112,-95.88,,0.09,,
,,95.97,9,12800,,1358,116,-95.88,,0.09,,
,,95.97,9,12800,,1358,120,-95.88,,0.09,,
,,95.97,9,12800,,1358,124,-95.88,,0.09,,
,,95.97,9,12800,,1358,128,-95.88,,0.09,,
,,95.42,10,14240,,1381,132,-95.32,,0.1,,
0.0001,-0.21009536110796034,95.63,9,14560,448,1589,136,-95.53,-15.310014203190804,0.1,0.44674801430664957,0.959254858084023
,,94.93,9,15488,,1607,140,-94.82,,0.11,,
,,94.78,9,15936,,1616,144,-94.66,,0.12,,
,,94.78,9,16000,,1618,148,-94.66,,0.12,,
,,94.78,9,16000,,1618,152,-94.66,,0.12,,
,,94.78,9,16000,,1618,156,-94.66,,0.12,,
,,94.78,9,16000,,1618,160,-94.66,,0.12,,
0.0001,-0.24242595885880291,94.78,9,17312,512,1849,164,-94.66,-16.4673510491848,0.12,0.35188607475720346,0.95313361287117
,,95.08,9,17696,,1857,168,-94.97,,0.11,,
0.0001,-0.2747913426719606,95.42,8,18592,576,2078,172,-95.32,-16.90338209271431,0.1,0.32466927205678076,0.9470512866973877
,,95.42,9,19072,,2088,176,-95.32,,0.1,,
,,95.42,9,19200,,2090,180,-95.32,,0.1,,
,,95.42,9,19200,,2090,184,-95.32,,0.1,,
,,95.42,9,19200,,2090,188,-95.32,,0.1,,
,,95.42,9,19200,,2090,192,-95.32,,0.1,,
,,94.82,9,20480,,2109,196,-94.71,,0.11,,
0.0001,-0.30708425818011165,96.41,8,20832,640,2320,200,-96.33,-17.23457831144333,0.08,0.2868184968829155,0.9410076746717095
,,96.81,9,21216,,2328,204,-96.74,,0.07,,
,,96.99,9,22240,,2349,208,-96.93,,0.06,,
,,96.99,9,22400,,2352,212,-96.93,,0.06,,
,,96.99,9,22400,,2352,216,-96.93,,0.06,,
,,96.99,9,22400,,2352,220,-96.93,,0.06,,
,,96.99,9,22400,,2352,224,-96.93,,0.06,,
0.0001,-0.3394805509597063,96.99,9,23680,704,2580,228,-96.93,-17.488522469997406,0.06,0.2913289862917736,0.9350032107904553
,,97.54,9,24032,,2589,232,-97.49,,0.05,,
,,97.4,9,24320,,2596,236,-97.35,,0.05,,
0.0001,-0.3717717411927879,97.93,8,25088,768,2811,240,-97.88,-17.666474908590317,0.05,0.2723815842764452,0.9290362447500229
,,97.02,9,25472,,2819,244,-96.96,,0.06,,
,,97.01,9,25600,,2822,248,-96.95,,0.06,,
,,97.01,9,25600,,2822,252,-96.95,,0.06,,
,,97.01,9,25600,,2822,256,-96.95,,0.06,,
,,97.01,9,25600,,2822,260,-96.95,,0.06,,
0.0001,-0.40408446500077844,97.01,8,27136,832,3052,264,-96.95,-17.768447637557983,0.06,0.3375873127952218,0.9231088301166892
,,96.55,8,27296,,3058,268,-96.48,,0.07,,
,,96.3,9,27936,,3072,272,-96.22,,0.08,,
,,96.3,9,28320,,3080,276,-96.22,,0.08,,
,,96.3,9,28672,,3088,280,-96.22,,0.08,,
0.0001,-0.43643149035051465,96.3,8,28800,896,3297,284,-96.22,-17.829602152109146,0.08,0.32776895666029304,0.9172190614044666
,,96.3,8,28800,,3297,288,-96.22,,0.08,,
,,96.3,8,28800,,3297,292,-96.22,,0.08,,
,,96.9,9,30336,,3325,296,-96.83,,0.07,,
,,96.9,9,30496,,3329,300,-96.83,,0.07,,
0.0001,-0.46871057292446494,96.48,8,30816,960,3537,304,-96.4,-17.846202105283737,0.08,0.3370011765509844,0.9113666927441955
,,96.48,8,31488,,3550,308,-96.4,,0.08,,
,,95.84,8,31840,,3556,312,-95.75,,0.09,,
,,95.84,8,32000,,3561,316,-95.75,,0.09,,
,,95.84,8,32000,,3561,320,-95.75,,0.09,,
,,95.84,8,32000,,3561,324,-95.75,,0.09,,
0.0001,-0.5009788796305656,95.39,8,33280,1024,3788,328,-95.29,-17.807472378015518,0.1,0.2877456210553646,0.9055528752505779
,,94.25,8,33536,,3795,332,-94.13,,0.12,,
,,94.88,8,33760,,3801,336,-94.77,,0.11,,
,,95.05,9,34336,,3813,340,-94.95,,0.1,,
,,95.56,9,34784,,3823,344,-95.47,,0.09,,
0.0001,-0.5333683816716075,96.12,8,35072,1088,4035,348,-96.04,-17.74974900484085,0.08,0.3344217105768621,0.8997759148478508
,,96.12,8,35200,,4037,352,-96.04,,0.08,,
,,96.12,8,35200,,4037,356,-96.04,,0.08,,
,,96.12,8,36480,,4057,360,-96.04,,0.08,,
,,96.12,9,36736,,4064,364,-96.04,,0.08,,
0.0001,-0.5656929239630699,97.1,8,36960,1152,4271,368,-97.04,-17.64487898349762,0.06,0.38329062168486416,0.8940352499485016
,,97.35,8,37536,,4282,372,-97.3,,0.05,,
,,97.35,8,37984,,4290,376,-97.3,,0.05,,
,,96.79,8,38272,,4295,380,-96.73,,0.06,,
,,96.79,8,38400,,4299,384,-96.73,,0.06,,
,,96.79,8,38400,,4299,388,-96.73,,0.06,,
0.0001,-0.5980945117771626,96.59,8,39648,1216,4527,392,-96.53,-17.579275459051132,0.06,0.3155113994143903,0.8883311729878187
,,96.59,8,39712,,4529,396,-96.53,,0.06,,
,,96.16,8,40064,,4538,400,-96.09,,0.07,,
,,96.58,8,40416,,4546,404,-96.52,,0.06,,
0.0001,-0.6303668674081564,96.32,8,41056,1280,4763,408,-96.25,-17.45217800140381,0.07,0.3260959406616166,0.8826631838455796
,,96.96,8,41440,,4772,412,-96.9,,0.06,,
,,96.96,8,41600,,4775,416,-96.9,,0.06,,
,,96.96,8,41600,,4775,420,-96.9,,0.06,,
,,96.54,8,42592,,4790,424,-96.47,,0.07,,
,,96.99,8,42912,,4796,428,-96.93,,0.06,,
0.0001,-0.6627880102023482,98.13,8,43264,1344,5006,432,-98.09,-18.394639179110527,0.04,4.986835993826389,0.8770316410809755
,,98.13,8,43616,,5014,436,-98.09,,0.04,,
,,98.13,8,44256,,5026,440,-98.09,,0.04,,
,,98.13,8,44640,,5033,444,-98.09,,0.04,,
,,98.13,8,44800,,5037,448,-98.09,,0.04,,
,,98.13,8,44800,,5037,452,-98.09,,0.04,,
0.0001,-0.6948711676523089,98.13,8,45792,1408,5258,456,-98.09,-26.872939229011536,0.04,6.403999587520957,0.8714362783357501
,,98.13,8,46112,,5265,460,-98.09,,0.04,,
,,97.59,8,46368,,5272,464,-97.54,,0.05,,
,,97.59,8,46720,,5280,468,-97.54,,0.05,,
0.0001,-0.7273817397654057,97.59,8,47392,1472,5489,472,-97.54,-26.1820727288723,0.05,0.9234120023902506,0.8658770630136132
,,97.59,8,47808,,5496,476,-97.54,,0.05,,
,,98.15,8,48000,,5500,480,-98.11,,0.04,,
,,98.15,8,48000,,5500,484,-98.11,,0.04,,
,,98.15,8,48992,,5516,488,-98.11,,0.04,,
0.0001,-0.7597130732610822,97.68,8,49280,1536,5724,492,-97.63,-24.50571244955063,0.05,0.5903244256041944,0.8603524276986718
,,97.68,8,49344,,5726,496,-97.63,,0.05,,
,,98.11,8,49696,,5733,500,-98.07,,0.04,,
,,97.71,8,50336,,5747,504,-97.66,,0.05,,
,,97.97,8,50784,,5757,508,-97.93,,0.04,,
,,97.44,8,51072,,5763,512,-97.39,,0.05,,
,,97.44,8,51200,,5765,516,-97.39,,0.05,,
0.0001,-0.7920486060902476,97.44,8,51296,1600,5969,520,-97.39,-23.064420729875565,0.05,0.559581550071016,0.854863372631371
,,97.25,8,52480,,5989,524,-97.2,,0.05,,
,,97.25,8,52512,,5990,528,-97.2,,0.05,,
,,97.25,8,52864,,5997,532,-97.2,,0.05,,
,,97.25,8,53216,,6004,536,-97.2,,0.05,,
0.0001,-0.8243329226970673,97.12,8,53856,1664,6220,540,-97.07,-21.847061842679977,0.05,0.5086899977177382,0.8494091080501676
,,96.56,8,54208,,6227,544,-96.5,,0.06,,
,,96.56,8,54400,,6230,548,-96.5,,0.06,,
,,96.56,8,54400,,6230,552,-96.5,,0.06,,
0.0001,-0.8565380517393351,95.56,8,55648,1728,6455,556,-95.48,-20.786829978227615,0.08,0.4330123773543164,0.8439902244135737
,,95.56,8,55680,,6456,560,-95.48,,0.08,,
,,96.1,8,55744,,6458,564,-96.03,,0.07,,
,,96.1,8,56320,,6470,568,-96.03,,0.07,,
,,96.1,8,56992,,6484,572,-96.03,,0.07,,
,,95.56,8,57184,,6489,576,-95.48,,0.08,,
0.0001,-0.8888693563640118,95.56,8,57440,1792,6694,580,-95.48,-19.85155764222145,0.08,0.3794511519372463,0.8386066257953644
,,94.94,8,57600,,6698,584,-94.85,,0.09,,
,,94.94,8,58592,,6712,588,-94.85,,0.09,,
,,95.61,8,58880,,6718,592,-95.53,,0.08,,
,,95.61,8,58912,,6719,596,-95.53,,0.08,,
,,95.61,8,59296,,6725,600,-95.53,,0.08,,
0.0001,-0.9211807101964951,95.4,8,59744,1856,6930,604,-95.31,-19.0332849919796,0.09,0.3576309037161991,0.833256752230227
,,95.4,8,60256,,6940,608,-95.31,,0.09,,
,,95.36,8,60608,,6948,612,-95.27,,0.09,,
,,94.74,8,60704,,6952,616,-94.64,,0.1,,
,,94.74,8,60800,,6955,620,-94.64,,0.1,,
0.0001,-0.9534381246194243,94.72,8,61920,1920,7172,624,-94.62,-18.316237777471542,0.1,0.3362568989396095,0.8279414670541883
,,94.72,8,62080,,7175,628,-94.62,,0.1,,
,,94.13,8,62144,,7177,632,-94.02,,0.11,,
,,94.13,8,62720,,7187,636,-94.02,,0.11,,
,,93.83,8,63392,,7200,640,-93.71,,0.12,,
0.0001,-0.9860524004325271,94.46,8,63520,1984,7395,644,-94.35,-17.68289226293564,0.11,0.31146590190473944,0.8226596927270293
,,94.52,8,63840,,7402,648,-94.41,,0.11,,
,,94.52,8,64000,,7406,652,-94.41,,0.11,,
,,94.91,8,65120,,7426,656,-94.81,,0.1,,
,,95.52,8,65280,,7429,660,-95.43,,0.09,,
,,95.52,8,65344,,7430,664,-95.43,,0.09,,
0.0001,-1.0184900667518377,95.26,8,65760,2048,7632,668,-95.16,-17.122016429901123,0.1,0.28864273917861283,0.8174101375043392
,,94.76,8,66144,,7638,672,-94.65,,0.11,,
,,95.3,8,66688,,7648,676,-95.2,,0.1,,
,,95.3,8,67008,,7657,680,-95.2,,0.1,,
,,95.92,8,67136,,7660,684,-95.83,,0.09,,
0.0001,-1.0505930595099926,95.92,8,68320,2112,7878,688,-95.83,-16.61521339416504,0.09,0.25728597841225564,0.8121949210762978
,,95.92,8,68480,,7880,692,-95.83,,0.09,,
,,95.38,8,68544,,7882,696,-95.28,,0.1,,
,,95.38,8,68896,,7888,700,-95.28,,0.1,,
,,95.99,8,69216,,7894,704,-95.91,,0.08,,
0.0001,-1.083053795620799,95.99,8,69856,2176,8101,708,-95.91,-16.15705880522728,0.08,0.2508061988046393,0.8070131288841367
,,96.56,8,70208,,8109,712,-96.49,,0.07,,
,,97.18,8,70336,,8112,716,-97.12,,0.06,,
,,97.18,8,71520,,8136,720,-97.12,,0.06,,
,,97.81,8,71680,,8140,724,-97.76,,0.05,,
0.0001,-1.1152387876063585,97.81,8,71744,2240,8336,728,-97.76,-15.743753150105476,0.05,0.20770134963095188,0.8018640941008925
,,98.4,8,72096,,8342,732,-98.36,,0.04,,
,,98.4,8,72416,,8347,736,-98.36,,0.04,,
,,98.51,8,73056,,8357,740,-98.47,,0.04,,
,,98.51,8,73280,,8362,744,-98.47,,0.04,,
,,97.8,8,73504,,8366,748,-97.75,,0.05,,
0.0001,-1.1474172566086054,97.8,8,74592,2304,8580,752,-97.75,-15.362257644534111,0.05,0.22641738469246775,0.7967488719150424
,,97.8,8,74880,,8586,756,-97.75,,0.05,,
,,97.8,8,74912,,8587,760,-97.75,,0.05,,
,,97.8,8,75264,,8594,764,-97.75,,0.05,,
,,98.06,8,75520,,8600,768,-98.02,,0.04,,
0.0001,-1.1797762028872967,98.23,8,76000,2368,8804,772,-98.19,-15.00949589908123,0.04,0.19370764098130167,0.7916660867631435
,,98.23,8,76320,,8809,776,-98.19,,0.04,,
,,97.74,8,76640,,8815,780,-97.69,,0.05,,
,,97.74,8,76896,,8820,784,-97.69,,0.05,,
0.0001,-1.2122396398335695,97.19,8,78048,2432,9038,788,-97.13,-14.677723065018654,0.06,0.19825540366582572,0.786615920253098
,,97.19,8,78112,,9040,792,-97.13,,0.06,,
,,97.24,8,78144,,9041,796,-97.18,,0.06,,
,,97.24,8,78560,,9050,800,-97.18,,0.06,,
,,97.24,8,78848,,9055,804,-97.18,,0.06,,
,,97.24,8,79488,,9065,808,-97.18,,0.06,,
,,96.75,8,79808,,9072,812,-96.68,,0.07,,
0.0001,-1.2447053547948599,96.75,8,80000,2496,9274,816,-96.68,-14.373958230018616,0.07,0.1839466483797878,0.7815973600372672
,,96.75,8,81120,,9295,820,-96.68,,0.07,,
,,96.75,8,81312,,9299,824,-96.68,,0.07,,
,,96.27,8,81344,,9300,828,-96.19,,0.08,,
,,95.88,8,81664,,9309,832,-95.79,,0.09,,
,,95.88,8,81920,,9314,836,-95.79,,0.09,,
0.0001,-1.276884889230132,95.48,8,82656,2560,9520,840,-95.39,-14.084161221981049,0.09,0.18322421691846102,0.7766103921458125
,,95.48,8,82912,,9525,844,-95.39,,0.09,,
,,96.19,8,83136,,9529,848,-96.11,,0.08,,
,,95.63,8,83680,,9539,852,-95.54,,0.09,,
0.0001,-1.309203002601862,95.63,8,84448,2624,9745,856,-95.54,-13.799139186739922,0.09,0.2064335133181885,0.7716559628024697
,,95.63,8,84544,,9747,860,-95.54,,0.09,,
,,95.63,8,84768,,9752,864,-95.54,,0.09,,
,,95.63,8,85120,,9760,868,-95.54,,0.09,,
,,95.96,8,85856,,9776,872,-95.88,,0.08,,
0.0001,-1.3415883500128984,95.46,8,86048,2688,9974,876,-95.37,-13.533689975738525,0.09,0.19962465250864625,0.7667329860851169
,,95.95,8,86272,,9979,880,-95.87,,0.08,,
,,95.48,8,86496,,9983,884,-95.39,,0.09,,
,,96.03,8,87520,,9999,888,-95.95,,0.08,,
,,96.0,8,87712,,10003,892,-95.92,,0.08,,
,,96.49,8,87968,,10010,896,-96.42,,0.07,,
0.0001,-1.374079953879118,96.49,8,88320,2752,10216,900,-96.42,-13.281778886914253,0.07,0.17984158644685522,0.7618408435955644
,,96.49,8,89056,,10232,904,-96.42,,0.07,,
,,96.39,8,89184,,10235,908,-96.32,,0.07,,
,,96.88,8,89440,,10240,912,-96.82,,0.06,,
,,96.42,8,89696,,10246,916,-96.35,,0.07,,
0.0001,-1.4062478300184011,96.42,8,90592,2816,10464,920,-96.35,-13.03113728761673,0.07,0.18018691026372835,0.7569802636280656
,,96.42,8,90912,,10469,924,-96.35,,0.07,,
,,96.9,8,90944,,10470,928,-96.84,,0.06,,
,,96.91,8,91360,,10480,932,-96.85,,0.06,,
,,96.91,8,92000,,10492,936,-96.85,,0.06,,
0.0001,-1.4385640937834978,97.5,8,92384,2880,10700,940,-97.45,-12.784605517983437,0.05,0.18703426769934595,0.7521508643403649
,,97.5,8,92640,,10706,944,-97.45,,0.05,,
,,97.5,8,92896,,10710,948,-97.45,,0.05,,
,,98.06,8,93792,,10725,952,-98.02,,0.04,,
,,98.06,8,94112,,10730,956,-98.02,,0.04,,
,,98.06,8,94144,,10731,960,-98.02,,0.04,,
0.0001,-1.4708881545811892,97.76,8,94496,2944,10936,964,-97.71,-12.560977518558502,0.05,0.1770977210253477,0.7473520245403051
,,97.64,8,94816,,10943,968,-97.59,,0.05,,
,,96.68,8,95456,,10958,972,-96.61,,0.07,,
,,96.56,8,95680,,10963,976,-96.49,,0.07,,
,,96.56,8,95872,,10968,980,-96.49,,0.07,,
,,97.03,8,96256,,10976,984,-96.97,,0.06,,
0.0001,-1.5033550541847944,97.03,8,97248,3008,11191,988,-96.97,-12.332534119486809,0.06,0.17964285053312778,0.7425838513299823
,,96.4,8,97344,,11193,992,-96.33,,0.07,,
,,96.4,8,97696,,11200,996,-96.33,,0.07,,
,,96.4,8,97920,,11204,1000,-96.33,,0.07,,
,,95.69,8,98016,,11206,1004,-95.6,,0.09,,
0.0001,-1.5354372896254063,95.79,8,98688,3072,11416,1008,-95.7,-12.114385351538658,0.09,0.15761564311105758,0.7378464210778475
,,95.79,8,98912,,11422,1012,-95.7,,0.09,,
,,94.74,8,99168,,11427,1016,-94.63,,0.11,,
,,94.14,8,99296,,11430,1020,-94.02,,0.12,,
0.0001,-1.567830378189683,93.63,8,100448,3136,11652,1024,-93.5,-11.896623209118843,0.13,0.17957246978767216,0.7331392718479037
,,94.01,8,100544,,11655,1028,-93.89,,0.12,,
,,94.01,8,100896,,11661,1032,-93.89,,0.12,,
,,93.63,8,101216,,11666,1036,-93.5,,0.13,,
,,93.63,8,101856,,11677,1040,-93.5,,0.13,,
,,93.63,8,102080,,11683,1044,-93.5,,0.13,,
,,93.18,8,102304,,11688,1048,-93.04,,0.14,,
,,92.24,8,102368,,11690,1052,-92.08,,0.16,,
0.0001,-1.6001750491559505,91.77,8,102496,3200,11890,1056,-91.6,-11.688688069581985,0.17,0.17449060641229153,0.7284624492749572
,,91.77,8,103648,,11912,1060,-91.6,,0.17,,
,,91.66,8,103744,,11914,1064,-91.49,,0.17,,
,,91.19,8,104288,,11923,1068,-91.01,,0.18,,
,,92.27,8,104416,,11925,1072,-92.11,,0.16,,
0.0001,-1.6323449350893497,92.89,8,105248,3264,12142,1076,-92.74,-11.480818435549736,0.15,0.16191762569360435,0.7238152390345931
,,92.89,8,105504,,12148,1080,-92.74,,0.15,,
,,92.89,8,105568,,12150,1084,-92.74,,0.15,,
,,92.89,8,105696,,12153,1088,-92.74,,0.15,,
0.0001,-1.6646085157990456,93.42,8,106784,3328,12377,1092,-93.28,-11.277066707611084,0.14,0.16455149662215263,0.7191981570795178
,,93.42,8,106944,,12381,1096,-93.28,,0.14,,
,,93.42,8,107488,,12389,1100,-93.28,,0.14,,
,,94.12,8,107616,,12391,1104,-94.0,,0.12,,
,,93.59,8,108384,,12403,1108,-93.46,,0.13,,
0.0001,-1.6972215827554464,93.59,8,108608,3392,12609,1112,-93.46,-11.077801078557968,0.13,0.152108013513498,0.7146099200472236
,,95.1,8,108768,,12614,1116,-95.0,,0.1,,
,,96.18,8,108896,,12617,1120,-96.1,,0.08,,
,,96.05,8,109536,,12629,1124,-95.97,,0.08,,
,,96.02,8,110112,,12641,1128,-95.94,,0.08,,
0.0001,-1.7290437333285809,96.02,8,110688,3456,12849,1132,-95.94,-10.875142082571983,0.08,0.155885606771335,0.7100509228184819
,,96.4,8,110816,,12852,1136,-96.33,,0.07,,
,,96.28,8,111520,,12862,1140,-96.2,,0.08,,
,,96.28,8,111712,,12866,1144,-96.2,,0.08,,
,,96.68,8,111968,,12870,1148,-96.6,,0.08,,
,,97.62,8,112096,,12873,1152,-97.56,,0.06,,
0.0001,-1.7614337150007486,98.09,8,112736,3520,13084,1156,-98.04,-10.676275119185448,0.05,0.14752099488396198,0.7055219886824489
,,98.09,8,113312,,13095,1160,-98.04,,0.05,,
,,97.94,8,113792,,13105,1164,-97.89,,0.05,,
,,97.27,8,113984,,13110,1168,-97.21,,0.06,,
,,97.27,8,114144,,13115,1172,-97.21,,0.06,,
0.0001,-1.7939765118062496,97.27,8,114784,3584,13327,1176,-97.21,-10.491024047136307,0.06,0.1454228286165744,0.7010217122733593
,,97.19,8,114944,,13331,1180,-97.13,,0.06,,
,,97.19,8,115168,,13334,1184,-97.13,,0.06,,
,,97.19,8,115680,,13342,1188,-97.13,,0.06,,
,,97.32,8,116512,,13356,1192,-97.26,,0.06,,
0.0001,-1.8264617249369621,97.32,8,116992,3648,13565,1196,-97.26,-10.309284716844559,0.06,0.15422894398216158,0.6965494323521852
,,97.33,8,117184,,13570,1200,-97.27,,0.06,,
,,97.33,8,117344,,13573,1204,-97.27,,0.06,,
,,97.7,8,117920,,13587,1208,-97.64,,0.06,,
,,97.7,8,118112,,13591,1212,-97.64,,0.06,,
,,97.7,8,118368,,13596,1216,-97.64,,0.06,,
0.0001,-1.8587171044200659,97.7,8,118880,3712,13806,1220,-97.64,-10.125252678990364,0.06,0.13799538742750883,0.6921053370460868
,,97.83,8,119712,,13822,1224,-97.77,,0.06,,
,,97.89,8,120192,,13831,1228,-97.83,,0.06,,
,,97.89,8,120384,,13835,1232,-97.83,,0.06,,
,,97.2,8,120544,,13839,1236,-97.13,,0.07,,
0.0001,-1.8911236971616745,97.32,8,121088,3776,14046,1240,-97.26,-9.946741461753845,0.06,0.133967864792794,0.687690008431673
,,96.8,8,121248,,14050,1244,-96.73,,0.07,,
,,96.85,8,121408,,14056,1248,-96.79,,0.06,,
,,96.85,8,121696,,14061,1252,-96.79,,0.06,,
0.0001,-1.9230360183864832,96.85,8,122912,3840,14280,1256,-96.79,-9.794595539569855,0.06,0.14403534960001707,0.6833029305562377
,,96.85,8,123392,,14289,1260,-96.79,,0.06,,
,,98.07,8,123584,,14294,1264,-98.03,,0.04,,
,,98.55,8,123744,,14298,1268,-98.52,,0.03,,
,,98.55,8,124288,,14309,1272,-98.52,,0.03,,
,,98.55,8,124448,,14313,1276,-98.52,,0.03,,
,,98.13,8,124544,,14316,1280,-98.09,,0.04,,
,,98.13,8,124768,,14321,1284,-98.09,,0.04,,
0.0001,-1.9554187711328268,98.13,8,126048,3904,14538,1288,-98.09,-9.645648449659348,0.04,0.133044553687796,0.6789441844448447
,,98.13,8,126592,,14547,1292,-98.09,,0.04,,
,,98.13,8,126784,,14551,1296,-98.09,,0.04,,
,,98.13,8,126944,,14554,1300,-98.09,,0.04,,
0.0001,-1.9878526199609041,97.66,8,127488,3968,14767,1304,-97.62,-9.470744162797928,0.04,0.12401450227480382,0.6746134599670768
,,97.66,8,127648,,14771,1308,-97.62,,0.04,,
,,97.66,8,127744,,14774,1312,-97.62,,0.04,,
,,97.66,8,127968,,14778,1316,-97.62,,0.04,,
,,96.48,8,128096,,14782,1320,-96.42,,0.06,,
0.0001,-2.0205278508365154,95.91,8,129248,4032,15006,1324,-95.84,-9.2705397605896,0.07,0.13666014256887138,0.6703095901757479
,,95.39,8,129792,,15014,1328,-95.3,,0.09,,
,,95.39,8,129984,,15018,1332,-95.3,,0.09,,
,,96.08,8,130592,,15027,1336,-96.0,,0.08,,
,,96.08,8,130720,,15031,1340,-96.0,,0.08,,
,,96.6,8,130912,,15035,1344,-96.53,,0.07,,
0.0001,-2.052388299256563,96.6,8,131168,4096,15237,1348,-96.53,-9.08465401828289,0.07,0.12808849749853835,0.6660332484170794
,,96.6,8,131296,,15240,1352,-96.53,,0.07,,
,,96.6,8,132448,,15262,1356,-96.53,,0.07,,
,,96.17,8,132800,,15270,1360,-96.09,,0.08,,
0.0001,-2.08436606451869,96.17,8,133184,4160,15481,1364,-96.09,-8.900515899062157,0.08,0.11968460457865149,0.6617848910391331
,,96.17,8,133344,,15484,1368,-96.09,,0.08,,
,,96.17,8,133888,,15493,1372,-96.09,,0.08,,
,,96.17,8,134048,,15497,1376,-96.09,,0.08,,
,,96.67,8,134368,,15504,1380,-96.6,,0.07,,
,,96.67,8,134496,,15508,1384,-96.6,,0.07,,
0.0001,-2.1170052848756313,96.21,8,135584,4224,15730,1388,-96.13,-8.72189798951149,0.08,0.11494633299298584,0.657563759945333
,,96.21,8,135936,,15739,1392,-96.13,,0.08,,
,,96.21,8,136288,,15745,1396,-96.13,,0.08,,
,,96.21,8,136416,,15747,1400,-96.13,,0.08,,
,,96.25,8,137024,,15757,1404,-96.16,,0.09,,
,,96.25,8,137184,,15760,1408,-96.16,,0.09,,
0.0001,-2.1489776223897934,96.25,8,137408,4288,15966,1412,-96.16,-8.534303933382034,0.09,0.11888740421272814,0.6533696930855513
,,96.24,8,137600,,15971,1416,-96.15,,0.09,,
,,97.42,8,138784,,15995,1420,-97.35,,0.07,,
,,97.99,8,139136,,16003,1424,-97.93,,0.06,,
0.0001,-2.1813407093286514,98.51,8,139488,4352,16206,1428,-98.47,-8.358751475811005,0.04,0.10976921417750418,0.6492023142054677
,,98.51,8,139616,,16209,1432,-98.47,,0.04,,
,,98.51,8,140224,,16218,1436,-98.47,,0.04,,
,,98.51,8,140384,,16221,1440,-98.47,,0.04,,
,,98.51,8,140608,,16225,1444,-98.47,,0.04,,
,,98.51,8,140800,,16229,1448,-98.47,,0.04,,
0.0001,-2.214288894087076,98.51,8,141984,4416,16449,1452,-98.47,-8.174116283655167,0.04,0.11103558889590204,0.6450610812753439
,,97.86,8,142240,,16454,1456,-97.81,,0.05,,
,,98.29,8,142688,,16464,1460,-98.25,,0.04,,
,,98.29,8,142816,,16468,1464,-98.25,,0.04,,
0.0001,-2.246072806417942,98.29,8,143392,4480,16681,1468,-98.25,-7.994699865579605,0.04,0.09995059238281101,0.6409457251429558
,,98.29,8,143520,,16684,1472,-98.25,,0.04,,
,,98.29,8,143744,,16688,1476,-98.25,,0.04,,
,,98.29,8,143968,,16692,1480,-98.25,,0.04,,
,,98.29,8,145184,,16712,1484,-98.25,,0.04,,
0.0001,-2.278635796159506,98.75,8,145440,4544,16919,1488,-98.72,-7.813352905213833,0.03,0.09725740767316893,0.6368570933118463
,,98.25,8,145792,,16926,1492,-98.21,,0.04,,
,,98.25,8,145984,,16930,1496,-98.21,,0.04,,
,,98.05,8,146048,,16932,1500,-98.0,,0.05,,
,,98.64,8,146688,,16946,1504,-98.61,,0.03,,
,,98.64,8,146848,,16949,1508,-98.61,,0.03,,
