time/episodes,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/n_updates,train/actor_loss,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,train/critic_loss
336,,,-96.39,33760,29,,,,96.47,0.08,1143,
340,,,-96.84,34048,29,,,,96.91,0.07,1150,
344,,,-97.56,34144,29,,,,97.61,0.05,1152,
348,0.8997561233118176,-0.5334732141345739,-98.07,35200,29,0.0001,1088,-17.415739208459854,98.11,0.04,1202,0.30788759363349527
352,,,-98.07,35200,29,,,,98.11,0.04,1202,
356,,,-97.21,36192,29,,,,97.27,0.06,1222,
360,,,-97.21,36416,29,,,,97.27,0.06,1227,
364,,,-97.21,36704,29,,,,97.27,0.06,1233,
368,0.894015483558178,-0.5657442826777697,-97.21,36896,29,0.0001,1152,-17.36755257844925,97.27,0.06,1267,0.31372642412316054
372,,,-97.67,37120,29,,,,97.72,0.05,1272,
376,,,-97.67,37312,29,,,,97.72,0.05,1277,
380,,,-97.16,38400,29,,,,97.22,0.06,1298,
384,,,-97.16,38400,29,,,,97.22,0.06,1298,
388,,,-96.73,38560,29,,,,96.8,0.07,1302,
392,0.8883121833205223,-0.598042868077755,-96.23,39392,29,0.0001,1216,-17.2964945435524,96.31,0.08,1347,0.31012648227624595
396,,,-96.23,39808,29,,,,96.31,0.08,1356,
400,,,-96.23,40096,29,,,,96.31,0.08,1363,
404,,,-96.23,40320,29,,,,96.31,0.08,1368,
408,,,-96.64,40512,29,,,,96.71,0.07,1373,
412,0.8826452782377601,-0.6304450538009405,-96.9,41600,29,0.0001,1280,-17.196000158786774,96.96,0.06,1424,0.2978709873277694
416,,,-96.9,41600,29,,,,96.96,0.06,1424,
420,,,-96.9,41760,29,,,,96.96,0.06,1427,
424,,,-96.78,42464,29,,,,96.85,0.07,1441,
428,,,-96.59,42944,29,,,,96.67,0.08,1451,
432,0.8770142430439591,-0.6626493772491813,-96.59,43168,29,0.0001,1344,-17.088975846767426,96.67,0.08,1485,0.3048902149312198
436,,,-96.59,43360,29,,,,96.67,0.08,1490,
440,,,-96.59,43712,29,,,,96.67,0.08,1497,
444,,,-96.59,44800,29,,,,96.67,0.08,1519,
448,,,-96.59,44800,29,,,,96.67,0.08,1519,
452,,,-96.59,44960,29,,,,96.67,0.08,1523,
456,0.8714189939200878,-0.6951284697279334,-97.45,45664,29,0.0001,1408,-16.999062299728394,97.51,0.06,1566,0.2656938306754455
460,,,-97.45,46144,29,,,,97.51,0.06,1576,
464,,,-97.45,46368,29,,,,97.51,0.06,1581,
468,,,-97.45,46560,29,,,,97.51,0.06,1586,
