time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,time/fps,train/learning_rate,train/critic_loss,train/n_updates,rollout/success_rate,train/actor_loss,rollout/ep_len_mean,train/ent_coef
340,-95.45,1382,34784,,25,,,,0.09,,95.54,
344,-95.53,1434,35104,-0.5341143552213907,24,0.0001,0.28402261051815003,1088,0.09,-17.43280726671219,95.62,0.8996444726362824
348,-94.93,1436,35200,,24,,,,0.1,,95.03,
352,-94.93,1436,35200,,24,,,,0.1,,95.03,
356,-94.93,1436,35200,,24,,,,0.1,,95.03,
360,-94.81,1456,36416,,24,,,,0.1,,94.91,
364,-94.2,1462,36672,,25,,,,0.11,,94.31,
368,-94.59,1519,37120,-0.5664282348006964,24,0.0001,0.344392113504,1152,0.1,-17.386271744966507,94.69,0.8939035963267088
372,-94.59,1529,37696,,24,,,,0.1,,94.69,
376,-93.87,1535,37984,,24,,,,0.12,,93.99,
380,-93.31,1542,38272,,24,,,,0.13,,93.44,
384,-93.9,1545,38400,,24,,,,0.12,,94.02,
388,-93.9,1545,38400,,24,,,,0.12,,94.02,
392,-93.9,1547,38496,,24,,,,0.12,,94.02,
396,-93.97,1621,39840,-0.598919496871531,24,0.0001,0.3614667833317071,1216,0.12,-17.31834888458252,94.09,0.88819888420403
400,-93.87,1625,40032,,24,,,,0.12,,93.99,
404,-94.08,1637,40544,,24,,,,0.12,,94.2,
408,-94.08,1695,41152,-0.6311556836590171,24,0.0001,0.3213732517324388,1280,0.12,-17.248417794704437,94.2,0.8825305169448256
412,-94.56,1701,41440,,24,,,,0.11,,94.67,
416,-94.56,1706,41600,,24,,,,0.11,,94.67,
420,-94.56,1706,41600,,24,,,,0.11,,94.67,
424,-94.56,1707,41696,,24,,,,0.11,,94.67,
428,-94.45,1728,42816,,24,,,,0.11,,94.56,
432,-93.94,1789,43072,-0.6633816165849566,24,0.0001,0.33715988614130765,1344,0.12,-17.119044333696365,94.06,0.8768991939723492
436,-93.5,1796,43424,,24,,,,0.13,,93.63,
440,-93.1,1803,43744,,24,,,,0.14,,93.24,
444,-93.1,1815,44352,,24,,,,0.14,,93.24,
448,-93.7,1822,44672,,24,,,,0.13,,93.83,
452,-93.7,1825,44800,,24,,,,0.13,,93.83,
456,-93.7,1828,44896,,24,,,,0.13,,93.83,
460,-94.39,1897,46016,-0.6957747396081686,24,0.0001,0.30524961662013084,1408,0.12,-16.99188584089279,94.51,0.8713040482252836
464,-95.58,1904,46272,,24,,,,0.1,,95.68,
468,-95.1,1911,46560,,24,,,,0.11,,95.21,
472,-95.1,1914,46720,,24,,,,0.11,,95.21,
476,-95.51,1982,47296,-0.7279797671362758,23,0.0001,0.380519226542674,1472,0.1,-16.8470761179924,95.61,0.8657448524609208
480,-96.07,1992,47840,,24,,,,0.09,,96.16,
484,-96.07,1996,48000,,24,,,,0.09,,96.16,
488,-96.07,1998,48096,,24,,,,0.09,,96.16,
492,-95.38,2069,49216,-0.7605551183223724,23,0.0001,0.2903947525192052,1536,0.1,-16.666252970695496,95.48,0.8602209715172648
496,-95.32,2075,49440,,23,,,,0.1,,95.42,
500,-95.85,2079,49632,,23,,,,0.09,,95.94,
504,-95.98,2083,49824,,23,,,,0.08,,96.06,
508,-95.98,2090,50144,,23,,,,0.08,,96.06,
512,-95.39,2103,50752,,24,,,,0.09,,95.48,
516,-95.39,2112,51136,,24,,,,0.09,,95.48,
520,-95.39,2114,51200,,24,,,,0.09,,95.48,
524,-94.33,2166,51520,-0.7927346965298057,23,0.0001,0.25536780967377126,1600,0.11,-16.512972205877304,94.44,0.8547318512573838
528,-94.96,2186,52544,,24,,,,0.1,,95.06,
532,-95.47,2189,52672,,24,,,,0.09,,95.56,
536,-95.53,2196,52960,,24,,,,0.09,,95.62,
540,-95.51,2199,53088,,24,,,,0.09,,95.6,
544,-95.13,2252,53344,-0.8250297773629427,23,0.0001,0.28522549709305167,1664,0.1,-16.356013357639313,95.23,0.8492783308029175
548,-95.13,2269,54240,,23,,,,0.1,,95.23,
552,-95.13,2274,54400,,23,,,,0.1,,95.23,
556,-95.13,2280,54720,,23,,,,0.1,,95.23,
560,-95.13,2347,55744,-0.8574327901005745,23,0.0001,0.2994734784588218,1728,0.1,-16.20345750451088,95.23,0.8438599901273847
564,-95.13,2350,55872,,23,,,,0.1,,95.23,
568,-95.23,2354,56032,,23,,,,0.1,,95.33,
572,-95.23,2359,56256,,23,,,,0.1,,95.33,
576,-95.54,2365,56544,,23,,,,0.09,,95.63,
580,-95.54,2438,57440,-0.889712949283421,23,0.0001,0.2821712102741003,1792,0.09,-16.051027357578278,95.63,0.8384754965081811
584,-95.54,2443,57600,,23,,,,0.09,,95.63,
588,-95.1,2446,57760,,23,,,,0.1,,95.2,
