train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success_rate,train/learning_rate,train/ent_coef,time/episodes,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps
,95.14,-95.01,,0.13,,,284,,4392,28416,,6
-16.650076866149902,95.14,-95.01,-0.43610541010275483,0.13,0.0001,0.9172706883400679,288,0.48115969193167984,4695,28800,896,6
,95.14,-95.01,,0.13,,,292,,4695,28800,,6
,95.12,-94.99,,0.13,,,296,,4706,29344,,6
,94.66,-94.52,,0.14,,,300,,4716,29984,,6
,95.14,-95.01,,0.13,,,304,,4722,30304,,6
,95.14,-95.01,,0.13,,,308,,4727,30592,,6
-16.783174991607666,94.79,-94.65,-0.4684112719260156,0.14,0.0001,0.911418916657567,312,0.3765206452226266,5028,30912,960,6
,94.86,-94.73,,0.13,,,316,,5033,31168,,6
,94.86,-94.73,,0.13,,,320,,5046,31872,,6
,94.86,-94.73,,0.13,,,324,,5049,32000,,6
,95.21,-95.09,,0.12,,,328,,5056,32480,,6
-16.90057897567749,94.83,-94.71,-0.5007511433213949,0.12,0.0001,0.905605218373239,332,0.4172294578747824,5363,33120,1024,6
,94.83,-94.71,,0.12,,,336,,5369,33472,,6
,94.21,-94.08,,0.13,,,340,,5373,33696,,6
,95.05,-94.94,,0.11,,,344,,5379,33952,,6
,95.89,-95.8,,0.09,,,348,,5383,34176,,6
,95.89,-95.8,,0.09,,,352,,5393,34816,,6
-16.950109273195267,95.89,-95.8,-0.5330889206379652,0.09,0.0001,0.8998275892809033,356,0.38427436142228544,5696,35200,1088,6
,95.89,-95.8,,0.09,,,360,,5703,35616,,6
,95.89,-95.8,,0.09,,,364,,5715,36320,,6
,96.55,-96.47,,0.08,,,368,,5721,36672,,6
-16.966870725154877,96.55,-96.47,-0.5653669340535998,0.08,0.0001,0.8940871236845851,372,0.3727232158416882,6021,36896,1152,6
,96.97,-96.9,,0.07,,,376,,6026,37152,,6
,97.29,-97.23,,0.06,,,380,,6030,37376,,6
,97.19,-97.13,,0.06,,,384,,6037,37728,,6
,96.23,-96.15,,0.08,,,388,,6042,38048,,6
,96.23,-96.15,,0.08,,,392,,6049,38400,,6
-16.957395672798157,95.95,-95.86,-0.597668057307601,0.09,0.0001,0.8883838634938002,396,0.37271419120952487,6358,39200,1216,6
,96.41,-96.33,,0.08,,,400,,6367,39776,,6
,96.41,-96.33,,0.08,,,404,,6372,40096,,6
,96.41,-96.33,,0.08,,,408,,6377,40352,,6
,96.75,-96.68,,0.07,,,412,,6381,40576,,6
,97.02,-96.96,,0.06,,,416,,6388,40928,,6
-16.90395548939705,97.02,-96.96,-0.6300443476065993,0.06,0.0001,0.8827169584110379,420,0.39787999470718205,6689,41248,1280,6
,96.94,-96.88,,0.06,,,424,,6695,41600,,6
,96.49,-96.42,,0.07,,,428,,6706,42272,,6
,97.18,-97.12,,0.06,,,432,,6715,42784,,6
-16.82911643385887,97.18,-97.12,-0.6622705338522792,0.06,0.0001,0.8770860573276877,436,0.3658658122876659,7016,43104,1344,6
,96.74,-96.67,,0.07,,,440,,7024,43456,,6
,97.36,-97.3,,0.06,,,444,,7028,43712,,6
,97.36,-97.3,,0.06,,,448,,7034,44032,,6
,97.36,-97.3,,0.06,,,452,,7040,44416,,6
,97.36,-97.3,,0.06,,,456,,7047,44800,,6
,97.23,-97.17,,0.06,,,460,,7051,45056,,6
-16.734507232904434,96.73,-96.66,-0.6947330376133323,0.07,0.0001,0.8714907364919782,464,0.3447553819278255,7362,45920,1408,6
,96.05,-95.97,,0.08,,,468,,7369,46272,,6
,96.05,-95.97,,0.08,,,472,,7373,46496,,6
,95.44,-95.35,,0.09,,,476,,7379,46848,,6
