time/episodes,rollout/ep_len_mean,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/learning_rate,rollout/success_rate,train/n_updates
336,96.4,,,33760,1244,,,-96.33,27,,0.07,
340,96.79,,,34112,1251,,,-96.73,27,,0.06,
344,96.79,,,34816,1265,,,-96.73,27,,0.06,
348,96.73,0.8997643757611513,0.3198335081106052,35200,1309,-17.39592495560646,-0.5334494039416313,-96.67,26,0.0001,0.06,1088
352,96.73,,,35200,1309,,,-96.67,26,,0.06,
356,96.73,,,35200,1309,,,-96.67,26,,0.06,
360,96.12,,,36000,1325,,,-96.05,27,,0.07,
364,96.34,,,36384,1333,,,-96.27,27,,0.07,
368,96.34,,,36704,1340,,,-96.27,27,,0.07,
372,95.95,0.8940236857160926,0.34905888931825757,36992,1382,-17.348540037870407,-0.5657205935567617,-95.87,26,0.0001,0.08,1152
376,95.95,,,37600,1394,,,-95.87,26,,0.08,
380,95.02,,,38144,1406,,,-94.92,27,,0.1,
384,95.02,,,38400,1411,,,-94.92,27,,0.1,
388,95.02,,,38400,1411,,,-94.92,27,,0.1,
392,95.02,,,38528,1414,,,-94.92,27,,0.1,
396,94.6,0.8883203379809856,0.4099425961030647,39424,1467,-17.296554028987885,-0.5980284949764609,-94.49,26,0.0001,0.11,1216
400,95.09,,,39904,1477,,,-94.99,27,,0.1,
404,95.09,,,40160,1483,,,-94.99,27,,0.1,
408,95.89,,,40800,1496,,,-95.81,27,,0.08,
412,95.79,0.8826533332467079,0.30703501391690224,41216,1541,-17.272643834352493,-0.6304322797805071,-95.71,26,0.0001,0.08,1280
416,95.69,,,41600,1549,,,-95.61,26,,0.08,
420,95.69,,,41600,1549,,,-95.61,26,,0.08,
424,95.69,,,41728,1551,,,-95.61,26,,0.08,
428,95.46,,,42208,1562,,,-95.37,27,,0.09,
432,96.09,,,42784,1573,,,-96.01,27,,0.08,
436,96.09,0.8770222133025527,0.291592747787945,43296,1620,-17.10752123594284,-0.6626430256292224,-96.01,26,0.0001,0.08,1344
440,96.01,,,43744,1629,,,-95.93,26,,0.08,
444,95.35,,,44416,1643,,,-95.26,27,,0.09,
448,95.41,,,44800,1651,,,-95.32,27,,0.09,
452,95.41,,,44800,1651,,,-95.32,27,,0.09,
456,95.41,,,44800,1651,,,-95.32,27,,0.09,
460,96.02,0.8714268822222948,0.3129554004408419,45120,1694,-16.9522787630558,-0.6951229488477111,-95.94,26,0.0001,0.08,1408
464,96.41,,,45984,1712,,,-96.34,26,,0.07,
468,96.41,,,46496,1722,,,-96.34,26,,0.07,
472,95.56,,,46752,1727,,,-95.48,27,,0.08,
476,95.99,0.8658670596778393,0.36219214682932943,47424,1777,-16.801937103271484,-0.7272444823756814,-95.92,26,0.0001,0.07,1472
480,96.49,,,47680,1782,,,-96.43,26,,0.06,
484,95.47,,,48000,1789,,,-95.39,26,,0.08,
488,95.47,,,48000,1789,,,-95.39,26,,0.08,
492,95.47,,,48000,1789,,,-95.39,26,,0.08,
496,95.89,,,48608,1802,,,-95.82,26,,0.07,
500,95.43,0.860343643464148,0.28616042993962765,49504,1856,-16.701559275388718,-0.7596515407785773,-95.35,26,0.0001,0.08,1536
504,95.43,,,49760,1862,,,-95.35,26,,0.08,
508,95.53,,,50624,1879,,,-95.45,26,,0.08,
512,95.53,,,50880,1885,,,-95.45,26,,0.08,
516,95.63,,,51200,1892,,,-95.55,27,,0.08,
520,95.63,,,51200,1892,,,-95.55,27,,0.08,
524,95.63,,,51200,1892,,,-95.55,27,,0.08,
528,96.54,0.8548546405509114,0.2999201003694907,51808,1941,-16.526944428682327,-0.7921072281897068,-96.48,26,0.0001,0.06,1600
532,95.94,,,52480,1955,,,-95.87,26,,0.07,
536,95.94,,,52960,1965,,,-95.87,26,,0.07,
540,96.02,0.8494000537320971,0.27187249425332993,53760,2016,-16.366719275712967,-0.8245050851255655,-95.95,26,0.0001,0.07,1664
544,96.68,,,54016,2022,,,-96.62,26,,0.06,
548,96.68,,,54368,2029,,,-96.62,26,,0.06,
552,96.68,,,54400,2030,,,-96.62,26,,0.06,
556,96.68,,,54400,2030,,,-96.62,26,,0.06,
560,96.68,,,55008,2043,,,-96.62,26,,0.06,
564,95.98,0.8439800087362528,0.2555066008353606,55584,2090,-16.18058916926384,-0.8567384472116828,-95.91,26,0.0001,0.07,1728
568,95.98,,,56096,2101,,,-95.91,26,,0.07,
572,97.22,,,56544,2110,,,-97.17,26,,0.05,
576,97.22,,,57216,2123,,,-97.17,26,,0.05,
580,97.22,0.8385957097634673,0.24131112382747233,57536,2166,-16.02847845852375,-0.8888806663453579,-97.17,26,0.0001,0.05,1792
584,98.24,,,57600,2168,,,-98.21,26,,0.03,
588,98.24,,,57600,2168,,,-98.21,26,,0.03,
592,98.24,,,58208,2180,,,-98.21,26,,0.03,
596,98.24,,,58784,2192,,,-98.21,26,,0.03,
600,98.7,,,59296,2202,,,-98.68,26,,0.02,
604,98.7,0.8332460215315223,0.24389334814622998,59744,2247,-15.859846234321594,-0.9214934576302767,-98.68,26,0.0001,0.02,1856
608,98.7,,,60416,2261,,,-98.68,26,,0.02,
612,98.66,,,60672,2266,,,-98.64,26,,0.02,
616,98.66,,,60800,2269,,,-98.64,26,,0.02,
620,98.66,,,60800,2269,,,-98.64,26,,0.02,
624,98.66,,,61408,2282,,,-98.64,26,,0.02,
628,98.66,0.8279293151572347,0.2350159422494471,61984,2330,-15.690643906593323,-0.9536375654861331,-98.64,26,0.0001,0.02,1920
632,98.73,,,62304,2336,,,-98.71,26,,0.02,
636,98.73,,,62752,2346,,,-98.71,26,,0.02,
640,98.22,,,63424,2360,,,-98.19,26,,0.03,
