time/total_timesteps,time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/n_updates,train/learning_rate,rollout/success_rate,time/time_elapsed,time/fps,train/ent_coef,train/actor_loss,train/ent_coef_loss
33216,328,97.22,0.3015145651297644,-97.17,1024,0.0001,0.05,1425,23,0.9055578652769327,-17.497757881879807,-0.5009940736927092
33344,332,97.83,,-97.79,,,0.04,1428,23,,,
33824,336,97.83,,-97.79,,,0.04,1437,23,,,
34816,340,98.4,,-98.37,,,0.03,1452,23,,,
35072,344,98.49,0.2509986807126552,-98.46,1088,0.0001,0.03,1516,23,0.8997805519029498,-17.47177517414093,-0.5333608826622367
35200,348,97.92,,-97.88,,,0.04,1519,23,,,
35200,352,97.92,,-97.88,,,0.04,1519,23,,,
35200,356,97.92,,-97.88,,,0.04,1519,23,,,
36384,360,97.92,,-97.88,,,0.04,1542,23,,,
36512,364,97.92,,-97.88,,,0.04,1546,23,,,
37024,368,97.92,0.23874893796164542,-97.88,1152,0.0001,0.04,1613,22,0.8940405575558543,-17.460604190826416,-0.5655610840767622
37952,372,97.78,,-97.73,,,0.05,1631,23,,,
38240,376,97.72,,-97.67,,,0.05,1636,23,,,
38400,380,97.72,,-97.67,,,0.05,1639,23,,,
38400,384,97.72,,-97.67,,,0.05,1639,23,,,
38400,388,97.72,,-97.67,,,0.05,1639,23,,,
38688,392,97.72,,-97.67,,,0.05,1644,23,,,
39712,396,97.72,0.22132464812602848,-97.67,1216,0.0001,0.05,1717,23,0.8883377835154533,-17.404544085264206,-0.5978389950469136
40224,400,97.72,,-97.67,,,0.05,1729,23,,,
40928,404,97.35,,-97.29,,,0.06,1742,23,,,
41440,408,98.5,0.2974199540913105,-98.46,1280,0.0001,0.04,1809,22,0.8826720220968127,-17.29506677389145,-0.6301180738955736
41504,412,98.5,,-98.46,,,0.04,1810,22,,,
41600,416,97.94,,-97.89,,,0.05,1813,22,,,
41600,420,97.94,,-97.89,,,0.05,1813,22,,,
41600,424,97.94,,-97.89,,,0.05,1813,22,,,
42848,428,97.38,,-97.32,,,0.06,1833,23,,,
42976,432,97.38,,-97.32,,,0.06,1836,23,,,
43648,436,97.02,0.23771636746823788,-96.95,1344,0.0001,0.07,1901,22,0.877041345462203,-17.197763890028,-0.6625902783125639
44640,440,97.02,,-96.95,,,0.07,1918,23,,,
44704,444,97.02,,-96.95,,,0.07,1920,23,,,
44800,448,97.59,,-97.53,,,0.06,1922,23,,,
44800,452,97.59,,-97.53,,,0.06,1922,23,,,
44800,456,97.59,,-97.53,,,0.06,1922,23,,,
